Name,Type,LowerLimit,LowerLimitType,UpperLimit,UpperLimitType
ED-D100 Borkum (HX),Danger,5500,MSL,35000,FL
ED-D101A Deutsche Bucht (HX),Danger,5500,MSL,24500,FL
ED-D19A Todendorf-Putlos (HX),Danger,0,SL,40000,MSL
ED-D19B Todendorf-Putlos (HX),Danger,0,SL,4000,MSL
ED-D28 Ostsee/Sch?nhagen,Danger,0,SL,48000,MSL
ED-D41A Sylt (HX),Danger,0,SL,48000,MSL
ED-D44 Helgoland (HX),Danger,0,SL,48000,MSL
ED-D46 Nordsee (HX),Danger,0,SL,48000,MSL
ED-R116 Baumholder,Restricted,0,GND,18000,MSL
ED-R111 J?lich,Restricted,0,GND,2300,MSL
ED-R133 Karlsruhe,Restricted,0,GND,2300,MSL
ED-R10A Todendorf-Putlos,Restricted,0,GND,40000,MSL
ED-R10B Todendorf-Putlos,Restricted,0,GND,40000,MSL
ED-R30 Ehra-Lessien,Restricted,0,GND,5000,MSL
ED-R134 Wildflecken,Restricted,0,GND,18000,MSL
ED-R112A Senne,Restricted,0,GND,1400,FL
ED-R203A Tra-M?nsterland,Restricted,8000,FL,15000,FL
ED-R141 Altenstadt,Restricted,0,GND,10000,FL
ED-R15 Karow,Restricted,0,GND,1700,MSL
ED-R77 Marienberg,Restricted,0,GND,3600,MSL
ED-R53 Platkow,Restricted,0,GND,1500,MSL
ED-R22 Hagenow,Restricted,0,GND,2700,MSL
ED-R93 Bad Frankenhausen,Restricted,0,GND,2700,MSL
ED-R90 Wartburg,Restricted,0,GND,3300,MSL
ED-R117 Elsenborn,Restricted,0,GND,17000,MSL
ED-R132A Heuberg,Restricted,0,GND,18000,MSL
ED-R11A Ostsee,Restricted,0,SL,48000,MSL
ED-R12A Sch?nhagen,Restricted,0,SL,3500,MSL
ED-R12B Sch?nhagen,Restricted,0,SL,10000,MSL
ED-R31 Bergen,Restricted,0,GND,14000,MSL
ED-R32B Munster,Restricted,0,GND,10500,MSL
ED-R137A Hohenfels,Restricted,0,GND,7500,FL
ED-R137B Hohenfels,Restricted,0,GND,7500,FL
ED-R142 Reiteralpe,Restricted,0,GND,12000,MSL
ED-R33A Unterl?ss,Restricted,0,GND,40000,MSL
ED-R37A Nordhorn,Restricted,0,GND,10000,MSL
ED-R135 Hammelburg,Restricted,0,GND,10500,MSL
ED-R131 Lampoldshausen,Restricted,0,GND,3000,MSL
ED-R34B Meppen,Restricted,0,GND,40000,MSL
ED-R13A Meldorfer Bucht,Restricted,0,SL,5000,MSL
ED-R139 Wettzell,Restricted,0,GND,5000,MSL
ED-R14 Moorkamp,Restricted,0,GND,1000,MSL
ED-R96 Romrod,Restricted,0,GND,4500,MSL
ED-R136A Grafenw?hr,Restricted,0,GND,30000,MSL
ED-R71 Klietz,Restricted,0,GND,16600,MSL
ED-R94 Sondershausen,Restricted,0,GND,2600,MSL
ED-R54 Lehnin,Restricted,0,GND,3500,MSL
ED-R17 J?gerbr?ck,Restricted,0,GND,16500,MSL
ED-R92 Bad Salzungen,Restricted,0,GND,2800,MSL
ED-R97A Schwarzenborn,Restricted,0,GND,12000,MSL
CTR Leipzig,D,0,GND,2500,MSL
ED-R34A Meppen,Restricted,0,GND,60000,MSL
CTR Diepholz (HX),D,0,GND,2500,MSL
CTR Ansbach (HX),D,0,GND,3000,MSL
CTR Augsburg (HX),D,0,GND,3500,MSL
CTR Braunschweig (HX),D,0,GND,2200,MSL
CTR Bremen (HX),D,0,GND,2500,MSL
CTR B?chel (HX),D,0,GND,4100,MSL
CTR B?ckeburg (HX),D,0,GND,2500,MSL
CTR Dortmund (HX),D,0,GND,2500,MSL
CTR Dresden,D,0,GND,2500,MSL
CTR D?sseldorf,D,0,GND,2500,MSL
CTR Erfurt,D,0,GND,3000,MSL
CTR Fassberg (HX),D,0,GND,2500,MSL
CTR Fritzlar (HX),D,0,GND,2700,MSL
CTR Geilenkirchen (HX),D,0,GND,3000,MSL
CTR Grafenw?hr (HX),D,0,GND,2900,MSL
CTR Hahn,D,0,GND,3500,MSL
CTR Hannover,D,0,GND,2500,MSL
CTR Hof (HX),D,0,GND,3500,MSL
CTR Hohn (HX),D,0,GND,2600,MSL
CTR Holzdorf (HX),D,0,GND,2800,MSL
CTR Illesheim (HX),D,0,GND,3000,MSL
CTR Ingolstadt (HX),D,0,GND,3700,MSL
CTR Kassel (HX),D,0,GND,2700,MSL
CTR Laage (HX),D,0,GND,2300,MSL
CTR Niederrhein (HX),D,0,GND,3000,MSL
CTR Landsberg (HX),D,0,GND,4500,MSL
CTR Laupheim (HX),D,0,GND,3500,MSL
CTR Lechfeld (HX),D,0,GND,4500,MSL
CTR L?beck (HX),D,0,GND,2000,MSL
CTR M?nster,D,0,GND,2500,MSL
CTR Neuburg (HX),D,0,GND,3700,MSL
CTR Niederstetten (HX),D,0,GND,3500,MSL
CTR Nordholz (HX),D,0,GND,2600,MSL
CTR N?rvenich (HX),D,0,GND,2900,MSL
CTR N?rnberg,D,0,GND,3500,MSL
CTR Oberpfaffenhofen (HX),D,0,GND,3500,MSL
CTR Paderborn,D,0,GND,2500,MSL
CTR Ramstein,D,0,GND,3600,MSL
CTR Rheine-Bentlage (HX),D,0,GND,1700,MSL
CTR Saarbr?cken (HX),D,0,GND,3600,MSL
CTR Schleswig (HX),D,0,GND,2600,MSL
CTR Spangdahlem (HX),D,0,GND,3700,MSL
CTR Stuttgart,D,0,GND,3500,MSL
CTR Sylt (HX),D,0,GND,2600,MSL
CTR Wiesbaden (HX),D,0,GND,1500,MSL
C D?sseldorf/K?ln-Bonn,C,3500,MSL,10000,FL
C D?sseldorf/K?ln-Bonn,C,2900,MSL,10000,FL
C M?nchen,C,3500,MSL,10000,FL
C M?nchen,C,4500,MSL,10000,FL
C D?sseldorf/K?ln-Bonn,C,1500,MSL,10000,FL
C D?sseldorf/K?ln-Bonn,C,3500,MSL,10000,FL
ED-R33B Unterl?ss,Restricted,0,GND,40000,MSL
